Country,country_ISO,Sub_region,Region,meanop_pop,meanDiphen_pop,meanDifen_pop,meanFent_pop,meanAlfent_pop,meanSufent_pop,meanRemifent_pop,meanTrimeper_pop,meanMorphine_pop,meanOpium_pop,meanHydromorph_pop,meanOxycodone_pop,meanDihydrocod_pop,meanPethidine_pop,meanPiritramide_pop,meanDextro_pop,meanTilid_pop,meanMeth_pop,meanDiamorph_pop,meanHydrocod_pop,meanCodeine_pop,meanPholcod_pop,10 quantiles of meanop_pop
Tuvalu,TUV,Oceania,Oceania,0,,,0,,,,,0,,,,,0,,,,,,,0,,5
UK,GBR,Europe (west),Europe,12,0,,0,0,0,0,,3,0,0,2,3,0,0,0,0,4,0,0,0,0,10
USA,USA,America (North),America,40,0,0,0,0,0,0,0,6,0,1,17,0,0,0,0,0,6,0,10,0,0,10
Uganda,UGA,Africa,Africa,0,,,0,,,0,,0,,,0,,0,,,,,,,0,0,5
Ukraine,UKR,Europe (eastern),Europe,1,,,0,,,,0,0,0,0,0,,,,,,1,0,0,0,,8
United Arab Emirates,ARE,Asia (west),Asia,0,0,,0,0,0,0,,0,0,0,0,0,0,,,,0,,0,0,0,4
Uruguay,URY,America (south),America,1,,,0,0,0,0,,1,,,0,0,0,,,,0,0,0,0,,7
Uzbekistan,UZB,Asia (west),Asia,0,,,0,,,,0,0,0,,,,,,,,,0,,0,,3
Vanuatu,VUT,Oceania,Oceania,0,0,,0,,,,,0,0,,0,0,0,,0,,,,,0,0,1
Venezuela (Bolivarian Rep. of),VEN,America (south),America,0,0,,0,0,0,0,,0,,0,0,,0,,,,0,0,,0,,3
Viet Nam,VNM,Asia (East & South East),Asia,2,,,0,0,0,0,,0,,0,0,0,0,,,,2,,0,0,,8
Wallis & Futuna Islands,WLF,Oceania,Oceania,5,,,0,,0,0,,0,4,,,,,,,,,,,0,,9
Yemen,YEM,Asia (west),Asia,0,,,0,,0,0,,0,,0,,,0,,,,,,,0,0,1
Zambia,ZMB,Africa,Africa,0,0,,0,0,,,,0,0,,,0,0,,0,0,0,0,,0,0,5
Zimbabwe,ZWE,Africa,Africa,0,0,,0,0,0,,,0,0,0,0,,0,,,0,0,,,0,0,5
